Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label
4.596307754516602,215.39027690806125,3.263489044061534,15,990,3.263489044061534,0,15,53248,0,ATTACK
1.132072925567627,455.80102513384907,7.066682560214715,8,516,7.066682560214715,0,7,53248,0,ATTACK
2.630307912826538,112909.97474164751,46.38240238151372,122,296988,46.38240238151372,19,103,64240,66,ATTACK
3.7322256565094,123.7867274167152,1.8755564760108363,7,462,1.8755564760108363,0,7,53248,0,ATTACK
4.213890314102173,236.8357801483586,3.559656014253887,15,998,3.559656014253887,1,15,65535,0,ATTACK
3.515788078308105,209.9102629516697,3.1287437567322045,11,738,3.1287437567322045,0,11,53248,0,ATTACK
4.749534368515015,236.23368375599387,3.57929823872718,17,1122,3.57929823872718,0,17,53248,0,ATTACK
4.263229846954346,154.81220194390983,2.58020336573183,11,660,2.58020336573183,0,11,252,11,ATTACK
0.7067680358886719,263.1697962488193,4.244674133045473,3,186,4.244674133045473,0,2,53248,0,ATTACK
3.1349692344665527,96.97064859768192,1.2759295868116045,4,304,1.2759295868116045,0,4,53248,0,ATTACK
0.5656585693359375,5211.624396428475,12.374956165196515,7,2948,12.374956165196515,0,7,254,4,ATTACK
1.7639613151550293,209.75516686287523,1.7007175691584475,3,370,1.7007175691584475,0,3,615,3,ATTACK
4.880753040313721,275.36734370678414,4.097728328970002,20,1344,4.097728328970002,0,20,53248,0,ATTACK
4.1168532371521,224.44326935472492,3.4006555962837117,14,924,3.4006555962837117,0,14,53248,0,ATTACK
3.071533441543579,171.90110739431086,2.604562233247134,8,528,2.604562233247134,0,8,53248,0,ATTACK
0.0162861347198486,23209.927125269,368.41154167093646,6,378,368.41154167093646,0,3,53247,3,ATTACK
4.993142366409302,7336.061604496485,111.15244855297703,555,36630,111.15244855297703,0,555,53248,0,ATTACK
1.191204071044922,221.62449442304185,3.3579468851976038,4,264,3.3579468851976038,0,4,53248,0,ATTACK
3.787074565887451,156.84930139758256,2.376504566630039,9,594,2.376504566630039,0,9,53248,0,ATTACK
4.948453426361084,143241.11776499884,24.04791755057668,119,708822,24.04791755057668,0,119,502,119,ATTACK
3.245751142501831,227.37417861036263,3.389046022647682,11,738,3.389046022647682,0,11,53248,0,ATTACK
4.5524678230285645,260.9573633866288,3.953899445251952,18,1188,3.953899445251952,0,18,53248,0,ATTACK
4.5811522006988525,204.31541214832671,3.055999754355314,14,936,3.055999754355314,0,14,53248,0,ATTACK
4.144903182983398,238.84755717923008,3.618902381503486,15,990,3.618902381503486,0,15,53248,0,ATTACK
3.291414737701416,52.86480552174783,0.911462164168066,3,174,0.911462164168066,3,3,65535,0,ATTACK
2.338686466217041,366.8726066508026,5.558675858345493,13,858,5.558675858345493,0,13,53248,0,ATTACK
4.485587596893311,107.00939166419244,1.783489861069874,8,480,1.783489861069874,0,8,252,8,ATTACK
0.7500097751617432,319.9958293186817,5.333263821978028,4,240,5.333263821978028,0,4,254,4,ATTACK
3.1502647399902344,831.0412667121162,7.300973695331808,23,2618,7.300973695331808,0,23,615,23,ATTACK
2.649467706680298,65.67356890641882,1.1323029121796349,3,174,1.1323029121796349,3,3,65535,0,ATTACK
2.203683853149414,299.4984961462395,4.53785600221575,10,660,4.53785600221575,0,10,53248,0,ATTACK
3.01420521736145,57.7266600819949,0.9952872427930156,3,174,0.9952872427930156,3,3,65535,0,ATTACK
4.319575548171997,397.261254228137,6.01910991254753,26,1716,6.01910991254753,0,26,53248,0,ATTACK
4.687108039855957,309.7859037285222,4.693725814068518,22,1452,4.693725814068518,0,22,53248,0,ATTACK
3.6169140338897705,165.88727140820004,2.764787856803334,10,600,2.764787856803334,0,10,251,10,ATTACK
4.985296964645386,9231.145170761858,153.85241951269762,767,46020,153.85241951269762,767,0,512,767,ATTACK
